benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
gsm8k,0.7,gate_aware,0.25,oracle_channel_honest,race,0.9733333333333334,0.9716666666666667,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.7,gate_aware,0.5,oracle_channel_honest,race,0.9733333333333334,0.9716666666666667,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.7,gate_aware,0.75,oracle_channel_honest,race,0.9733333333333334,0.9716666666666667,0.0016666666666666668,0.0,0.006666666666666667,0.31731050786291415,200,1.0,tie
gsm8k,0.7,gate_aware,1.0,oracle_channel_honest,race,0.9733333333333334,0.9716666666666667,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.7,independent,1.0,oracle_channel_honest,race,0.9733333333333334,0.9716666666666667,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.7,llm:always_wrong,1.0,oracle_channel_honest,race,0.9661111111111111,0.9716666666666667,-0.005555555555555556,-0.011666666666666669,-0.0005555555555555558,0.04550231928241228,200,1.0,tie
gsm8k,0.7,llm:rushing,1.0,oracle_channel_honest,race,0.9683333333333334,0.9716666666666667,-0.0033333333333333335,-0.01,0.0033333333333333335,0.3185356449196475,200,1.0,tie
gsm8k,0.7,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.9666666666666667,0.9716666666666667,-0.005,-0.013333333333333334,0.0,0.1573005107696258,200,1.0,tie
gsm8k,0.7,llm:semantic_negation,1.0,oracle_channel_honest,race,0.97,0.9716666666666667,-0.0016666666666666668,-0.005,0.0,0.31731050786291415,200,1.0,tie
gsm8k,0.7,partial,0.5,oracle_channel_honest,race,0.9716666666666667,0.9716666666666667,-2.7755575615628914e-19,-0.005,0.005,0.9971719968404295,200,1.0,tie
